File Name	nsd_id	cocoId	category_id	supercategory	name	Count
shared0527_nsd40154.png	40153	390120	1	person	person	1
shared0527_nsd40154.png	40153	390120	35	sports	skis	1
shared0375_nsd28320.png	28319	81961	1	person	person	3
shared0375_nsd28320.png	28319	81961	27	accessory	backpack	3
shared0375_nsd28320.png	28319	81961	35	sports	skis	2
shared0078_nsd07481.png	7480	13969	1	person	person	2
shared0078_nsd07481.png	7480	13969	47	kitchen	cup	2
shared0078_nsd07481.png	7480	13969	49	kitchen	knife	1
shared0078_nsd07481.png	7480	13969	59	food	pizza	2
shared0804_nsd58097.png	58096	460236	21	animal	cow	2
shared0043_nsd05205.png	5204	6765	7	vehicle	train	1
shared0017_nsd03730.png	3729	2372	1	person	person	1
shared0017_nsd03730.png	3729	2372	32	accessory	tie	1
shared0017_nsd03730.png	3729	2372	85	indoor	clock	1
shared0828_nsd60187.png	60186	468394	1	person	person	1
shared0828_nsd60187.png	60186	468394	15	outdoor	bench	2
shared0828_nsd60187.png	60186	468394	62	furniture	chair	1
shared0884_nsd64622.png	64621	485605	70	furniture	toilet	1
shared0884_nsd64622.png	64621	485605	81	appliance	sink	1
shared0884_nsd64622.png	64621	485605	90	indoor	toothbrush	2
shared0801_nsd57823.png	57822	459190	60	food	donut	14
shared0880_nsd64296.png	64295	484300	1	person	person	4
shared0880_nsd64296.png	64295	484300	42	sports	surfboard	4
shared0797_nsd57554.png	57553	458178	65	furniture	bed	1
shared0797_nsd57554.png	57553	458178	72	electronic	tv	1
shared0797_nsd57554.png	57553	458178	76	electronic	keyboard	1
shared0337_nsd25747.png	25746	72095	1	person	person	14
shared0337_nsd25747.png	25746	72095	15	outdoor	bench	3
shared0337_nsd25747.png	25746	72095	31	accessory	handbag	1
shared0337_nsd25747.png	25746	72095	37	sports	sports ball	1
shared0337_nsd25747.png	25746	72095	43	sports	tennis racket	1
shared0337_nsd25747.png	25746	72095	62	furniture	chair	5
shared0890_nsd64980.png	64979	224759	56	food	broccoli	1
shared0890_nsd64980.png	64979	224759	57	food	carrot	8
